1440056	Darah-ye Ās̄ār	Darah-ye Asar	Darah-ye Asar,Darah-ye Ās̄ār,Darrah-e Asar,Darrah-e Ās̄ār,درۀ آثار	33.06238	63.84846	H	STMI	AF		06				0		1633	Asia/Kabul	2012-01-19
1443917	Zīārat-e Sulţān Khwājah Aḩmad	Ziarat-e Sultan Khwajah Ahmad	Ziarat-e Soltan Khvajeh Ahmad,Ziarat-e Sultan Khwajah Ahmad,Zyarat-e Sultan Khwaj Ahmad,Zyāṟat-e Sulţān Khwāj Ahmad,Zīārat-e Solţān Khvājeh Aḩmad,Zīārat-e Sulţān Khwājah Aḩmad,زیارت سلطان خواجه احمډ	32.97872	63.87209	S	SHRN	AF		06	2104			0		1894	Asia/Kabul	2018-02-17
1448149	Kamrūt Kōh	Kamrut Koh	Kamrowt Kuh,Kamrut Koh,Kamrūt Kōh,Kamṟowt Kūh,Kamṟūt Koh,kmrwt kwh,کمروت کوه	33.25429	66.22439	T	MT	AF		39				0	2863	2816	Asia/Kabul	2012-01-19
1449403	Kowtal-e Tamazān	Kowtal-e Tamazan	Kotale Tamazan,Kotale Tamazān,Kowtal-e Tamazan,Kowtal-e Tamazān	33.64333	66.13083	T	MT	AF		41	3401			0		2188	Asia/Kabul	2018-02-17
1453964	Kōh-e Deh-e Mīānah	Koh-e Deh-e Mianah	Gora Dekhi-Miana,Koh-e Deh-e Mianah,Kohe Dehe Myana,Kohe Ḏehe Myāna,Kuh-e Deh-e Mianeh,Kōh-e Deh-e Mīānah,Kūh-e Deh-e Mīāneh,kwh dh myanh,كوهٔ دهٔ ميانه,کوه ده میانه	34.75594	69.02896	T	MT	AF		13	113			0	2305	2286	Asia/Kabul	2020-06-11
1455864	Kōh-e Būlāq	Koh-e Bulaq	Gora Bulak,Koh-e Bulaq,Kohe Bulagh,Kohe Būlāgh,Kuh-e Bowlagh,Kōh-e Būlāq,Kūh-e Bowlāgh,kwh bwlaq,کوه بولاق	34.89885	68.13351	T	MT	AF		05	2802			0		3365	Asia/Kabul	2020-06-11
1457586	Kōh-e Jangal-e Bāz	Koh-e Jangal-e Baz	Gory Dzhangali-Baz,Koh-e Jangal-e Baz,Kohe Jangale Baz,Kohe Jangale Bāz,Kuh-e Jangal-e Baz,Kōh-e Jangal-e Bāz,Kūh-e Jangal-e Bāz,kwh jngl baz,کوه جنگل باز	34.51209	63.37471	T	MTS	AF		11				0		2450	Asia/Kabul	2020-06-11
1457826	Qarul Tōp	Qarul Top	Gora Karul'top,Gora Karul’top,Qarul Top,Qarul Tup,Qarul Tōp,Qarul Tūp,Qaṟul Tōp,qrl twp,قرل توپ	34.58965	66.9384	T	MT	AF		05	2804			0		3514	Asia/Kabul	2018-02-17
1460042	Sērghālak	Serghalak	Gora Sergalak,Sar-e Ghalak,Sar-e Ghālak,Serghalak,Sirghalak,Sērghālak,Sēṟghālak,Sīrghālak,sr ghalk,سر غالک,سېرغالک	34.43979	64.59099	T	MT	AF		09	2710			0	2738	2707	Asia/Kabul	2020-06-11
1462023	Safēd Kaych	Safed Kaych	Safayd Kaych,Safed Kaych,Safedkec,Safedkech,Safēd Kaych,Safēdkēč,Sefidkech,Sefīdkēch,سفېد کیچ	34.18435	67.29171	P	PPL	AF		05	2806			0		2316	Asia/Kabul	2020-06-11
1466909	Zard Sang	Zard Sang	Zard Sang,zrdsng,زردسنگ	35.52652	65.10644	T	MT	AF		07	1807			0	2640	2622	Asia/Kabul	2018-02-17
1469292	Qal‘ah-ye Shaykh	Qal'ah-ye Shaykh	Kalasheykhkha,Qal'a Sekhha,Qal`ah-ye Shaykh,Qal`ah-ye Shaykhha,Qal`eh-ye Shekha,Qal`eh-ye Sheykhha,Qal‘ah-ye Shaykh,Qal‘ah-ye Shaykhhā,Qal‘eh-ye Sheykhhā,Qal‘eh-ye Shēkhā,Qal’a Šēkhhā,Shaykhan,Shaykhān,qlʿh shykh,shykhan,شیخان,قلعه شيخ,قلعۀ شیخ ها	34.46935	69.25587	P	PPL	AF		13	110			0		1794	Asia/Kabul	2020-06-11
1469519	Band-e Kamar	Band-e Kamar	Band-e Kamar,Gora Kamar,bnd kmr,بند کمر,بندٔ كمر	34.42705	70.91191	T	HLL	AF		18	816			0	806	783	Asia/Kabul	2018-02-17
1473014	Qal‘ah-ye Jānān	Qal'ah-ye Janan	Kaladzhanan,Qal`a Janan,Qal`ah-ye Janan,Qal`eh-ye Janan,Qal‘a Jānān,Qal‘ah-ye Jānān,Qal‘eh-ye Jānān,قلعهً جانان,قلعۀ جانان	34.45354	70.46637	P	PPL	AF		18	821			0		559	Asia/Kabul	2020-06-11
1474362	Darah-ye Māsamūt	Darah-ye Masamut	Darah-ye Masamut,Darah-ye Māsamūt,Darrah Masamut,Darrah-ye Masamut,Darrah-ye Māsamūt,Darreh-ye Masamut,Darreh-ye Māsamūt,Masamum,درۀ ماسموت,Ḏaṟṟah Māsamūt	34.84816	70.13309	H	STMI	AF		35				0		1387	Asia/Kabul	2020-06-11
1481134	Kurmāṉū Shīnkay	Kurmanu Shinkay	Gora Kurmanushinkay,Kurmanu Shinkay,Kurmanu Sinkay,Kurmāṉu Shīnkay,Kurmāṉū Shīnkay,Kuṟmāṉu Sinkay,کرماڼو شینکی	32.36106	68.36881	T	MT	AF		29	2904			0	2292	2265	Asia/Kabul	2020-06-12
6252318	Kunduz Tapah	Kunduz Tapah	Kunduz Tapah,Kunduztapa,Qonduz Tappeh,Qondūz Tappeh,Qunduz Tapa,Qunḏūz Tapa,kndz tph,qndwz tph,Кундузтапа,قندوز تپه,کندز تپه	36.06802	68.61885	P	PPL	AF		03	1301			0		561	Asia/Kabul	2018-02-17
7097267	Bāgh-e Mīrā	Bagh-e Mira	Bagh-e Mir Ahmad Shah,Bagh-e Mira,Bāgh-e Mīr Aḩmad Shāh,Bāgh-e Mīrā,bagh myr ahmd shah,bagh myra,باغ میر احمد شاه,باغ میرا	34.45984	69.20929	S	GDN	AF		13	110			0		1800	Asia/Kabul	2018-02-17
8022067	Gabinah Manjah	Gabinah Manjah	Gabinah Manjah,gbnh mnjh,گبنه منجه	33.2142	69.53173	H	STMI	AF		37				0		1675	Asia/Kabul	2014-05-01
8543259	Kōh-e Qishlāq-e Pā’īn	Koh-e Qishlaq-e Pa'in	Koh-e Qishlaq-e Pa'in,Kōh-e Qishlāq-e Pā’īn,kwh qshlaq payyn,کوه قشلاق پائین	34.42557	69.21827	T	MT	AF		13	114			0		2552	Asia/Kabul	2018-02-17
8710436	Sulaīmān Khēl	Sulaiman Khel	Sulaiman Khel,Sulaīmān Khēl,slyman khېl,سلیمان خېل	34.54094	69.26162	P	PPLX	AF		13	101			0		1786	Asia/Kabul	2018-02-17
10117933	Kla And Xhu Resort	Kla And Xhu Resort		41.23732	19.51874	S	HTL	AL		50	10944418	12501121		0		1	Europe/Tirane	2023-01-01
11983251	Lugu i Gjoborshit	Lugu i Gjoborshit	Lugu i Gjoborshit	40.41101	19.31271	H	RVN	AL		51				0		258	Europe/Tirane	2018-12-08
793692	Sotsgyukh	Sotsgyukh		40.12944	44.67806	P	PPL	AM		05				0		1431	Asia/Yerevan	1998-11-02
10426771	Berdadzor	Berdadzor	Berdadzor,Berdajor,Բերդաձոր	39.92511	45.24872	T	CNYN	AM		10				0		1850	Asia/Yerevan	2015-08-09
10654299	Hank’i	Hank'i	Hank'i,Hank’i,Հանքի	40.08069	45.26251	S	DAM	AM		04				0		2128	Asia/Yerevan	2015-09-08
11107294	Tandzanots’	Tandzanots'	Tandzanots',Tandzanots’,Տանձանոց	40.1875	43.97369	L	FLD	AM		03				0		880	Asia/Yerevan	2016-04-12
11110519	Hovhannisyan H.	Hovhannisyan H.	Hovhannisyan H.,Հովհաննիսյան Հ.	40.16388	44.29449	S	MUS	AM		03				0		877	Asia/Yerevan	2016-04-12
11129359	Eloyi Marg	Eloyi Marg	Eloyi Marg,Eloyi marg,Էլոյի մարգ	40.33612	44.02228	L	FLD	AM		01				0		1552	Asia/Yerevan	2016-12-06
11214666	Ispiri	Ispiri	Ispiri,Իսպիրի	40.3515	43.8125	S	MN	AM		01				0		1441	Asia/Yerevan	2016-08-05
11230529	T’ukh Manuk	T'ukh Manuk	T'ukh Manuk,T’ukh Manuk,Թուխ Մանուկ	40.4779	44.40008	S	CH	AM		01				0		1884	Asia/Yerevan	2016-08-05
11255660	Avagi Dzor	Avagi Dzor	Avagi Dzor,Avagi jor,Ավագի ձոր	40.60553	44.78332	L	FLD	AM		05				0		2373	Asia/Yerevan	2016-09-10
11319503	Hank’er	Hank'er	Hank'er,Hank’er,Հանքեր	41.05689	44.43048	L	FLD	AM		06				0		1865	Asia/Yerevan	2016-11-24
11320210	Ghazei Arter	Ghazei Arter	Gazei arter,Ghazei Arter,Ղազեի արտեր	40.58209	44.44733	L	FLD	AM		01				0		2015	Asia/Yerevan	2016-11-24
11320250	Dzoramiji	Dzoramiji	Dzoramiji,Joramiji,Ձորամիջի	40.6001	44.41528	H	SPNG	AM		01				0		2383	Asia/Yerevan	2016-11-24
11328363	Pozer	Pozer	Pozer,Պոզեր	39.45831	46.36108	L	FLD	AM		08				0		1402	Asia/Yerevan	2016-11-24
11328621	Kaghnut	Kaghnut	Kaghnut,Kagnut,Կաղնուտ	39.25409	46.36389	L	FLD	AM		08				0		1209	Asia/Yerevan	2016-11-24
11330122	Metskham	Metskham	Mecxam,Metskham,Մեծխամ	38.9751	46.48328	T	MT	AM		08				0		2110	Asia/Yerevan	2016-11-24
11338900	Ch’orahand	Ch'orahand	Ch'orahand,Ch’orahand,Չորահանդ	40.48328	44.98053	L	FLD	AM		04				0		2084	Asia/Yerevan	2016-11-24
11362412	Tani	Tani	Tani,Տանի	38.95428	46.19311	P	PPL	AM		08				0		1237	Asia/Yerevan	2016-12-06
11363464	Kaler	Kaler	Kaler,Կալեր	41.12909	44.60431	L	FLD	AM		06				0		1742	Asia/Yerevan	2016-12-06
11365462	K’arrashert	K'arrashert	K'arrashert,K’arrashert,Քառաշերտ	40.60553	44.00848	L	FLD	AM		07				0		2030	Asia/Yerevan	2016-12-06
11369811	Haghartsin Monastery	Haghartsin Monastery	Hagarcin vankʻ,Haghartsin Monastery,Haghartsin vank,Haxarcin vanq,Հաղարծին վանք	40.80199	44.89058	S	MSTY	AM		09				0		1428	Asia/Yerevan	2025-07-11
896973	Luege	Luege	Lueche,Luege,Luete,Luete River,Lueti River,Lueti do Sul,Rio Lueti,Southern Luete,Southern Lueti	-16.23333	23.2	H	STM	AO		00				0		1020	Africa/Lusaka	2021-08-05
2239443	Missoxe	Missoxe		-9.23333	15.63333	P	PPL	AO		12				0		946	Africa/Luanda	1994-01-31
2239658	Matadi	Matadi	Matade,Matadi	-7.61829	14.65591	H	STMI	AO		15				0		475	Africa/Luanda	2012-01-17
2592292	Graniinha Actividade	Graniinha Actividade		-9.63111	16.33556	P	PPL	AO		12				0		1062	Africa/Luanda	1998-06-17
3345630	Etala Ungange	Etala Ungange	Etala Ungange,Gange	-15.63333	14.61667	H	PND	AO		09				0		1226	Africa/Luanda	2022-01-16
3345820	Tenissua	Tenissua		-12.86667	15.18333	H	STM	AO		08				0		1438	Africa/Luanda	1994-01-31
